Kanji;Kana;Romaji;Translation;Part of Speech;Translation RU
見当;けんとう;kentou;aim, mark, direction;Noun;Цель, Марк, направление
検討;けんとう;kentou;consideration, examination;Noun, Suru verb, Transitive verb;Рассмотрение, экзамен
欠席;けっせき;kesseki;absence;Noun, Suru verb, Intransitive verb;отсутствие
決心;けっしん;kesshin;determination, resolution;Noun, Suru verb, Transitive verb;Определение, разрешение
化粧;けしょう;keshou;make-up, cosmetics;Noun, Suru verb, Transitive verb, Intransitive verb;макияж, косметика
決定;けってい;kettei;decision, determination;Noun, Suru verb, Transitive verb, Intransitive verb;решение, решимость
欠点;けってん;ketten;weak point, weakness;Noun;Слабая точка, слабость
血圧;けつあつ;ketsuatsu;blood pressure​;Noun;кровяное давление
血液;けつえき;ketsueki;blood;Noun;кровь
血液型;けつえきがた;ketsuekigata;blood type;Noun;Тип крови
結論;けつろん;ketsuron;conclusion;Noun, Suru verb, Intransitive verb;заключение
気に入る;きにいる;ki ni iru;to be pleased with;Expressions (phrases, clauses, etc.), Godan verb with 'ru' ending;быть довольным
気の毒;きのどく;ki no doku;pitiful, unfortunate;Na-adjective (keiyodoshi), Noun;жалкий, несчастный
希望;きぼう;kibou;hope, wish;Noun, Suru verb, Transitive verb;Надеюсь, желаю
希望者;きぼうしゃ;kibousha;applicant, candidate;Noun;Заявитель, кандидат
貴重;きちょう;kichou;precious, valuable;Na-adjective (keiyodoshi), Noun;Драгоценный, ценный
寄付;きふ;kifu;contribution, donation;Noun, Suru verb, Transitive verb;вклад, пожертвование
機嫌;きげん;kigen;humor, temper, mood;Noun;Юмор, характер, настроение
期限;きげん;kigen;time limit, deadline;Noun;срок, крайний срок
企業;きぎょう;kigyou;enterprise, undertaking;Noun;предприятие, предприятие
基本;きほん;kihon;foundation, basis;Noun, Noun which may take the genitive case particle 'no';Фонд, основа
生地;きじ;kiji;cloth, fabric;Noun;ткань, ткань
記事;きじ;kiji;article, news story;Noun;Статья, новостная история
機械;きかい;kikai;machine, mechanism;Noun;машина, механизм
期間;きかん;kikan;period, term;Noun;период, срок
機関;きかん;kikan;engine, agency, organization;Noun;Двигатель, агентство, организация
帰国;きこく;kikoku;return to one’s country​;Noun, Suru verb, Intransitive verb;вернуться в свою страну
気候;きこう;kikou;climate;Noun;климат
効く;きく;kiku;to be effective;Godan verb with 'ku' ending, Intransitive verb;быть эффективным
決まり;きまり;kimari;rule, settlement;Noun, Noun which may take the genitive case particle 'no';правило, урегулирование
気味;きみ;kimi;sensation, feeling;Noun;ощущение, ощущение
金;きん;kin;gold;Noun;золото
緊張;きんちょう;kinchou;tension, nervousness;Noun, Suru verb, Intransitive verb;напряжение, нервозность
近代;きんだい;kindai;present day;Noun;сегодняшний день
禁煙;きんえん;kin’en;no smoking;Noun, Suru verb, Intransitive verb;Курение запрещено
記念品;きねんひん;kinenhin;souvenir, memento​;Noun;Сувенир, сувенир
金額;きんがく;kingaku;amount of money;Noun;сумма денег
気になる;きになる;ki ni naru;to bother one, to worry about;Expressions (phrases, clauses, etc.), Godan verb with 'ru' ending;беспокоиться о том, чтобы беспокоиться о
気にする;きにする;ki ni suru;to mind, to care about;Expressions (phrases, clauses, etc.), Suru verb - included;Нам, чтобы заботиться о
金庫;きんこ;kinko;safe, vault;Noun;безопасно, хранилище
筋肉;きんにく;kinniku;muscle;Noun;мышца
金銭;きんせん;kinsen;money, cash;Noun, Noun which may take the genitive case particle 'no';деньги, наличные
禁止;きんし;kinshi;prohibition, ban;Noun, Suru verb, Transitive verb;Запрет, запрет
金属;きんぞく;kinzoku;metal;Noun;металл
奇妙;きみょう;kimyou;strange, queer;Na-adjective (keiyodoshi), Noun;Странно, странно
記念;きねん;kinen;commemoration;Noun, Suru verb, Transitive verb;Помидование
機能;きのう;kinou;function;Noun, Suru verb, Intransitive verb;функция
記入;きにゅう;kinyuu;entry, filling in forms;Noun, Suru verb, Transitive verb;Вход, заполнение форм
金融;きんゆう;kin’yuu;financing, money circulation;Noun;Финансирование, денежная циркуляция
記憶;きおく;kioku;memory, recollection;Noun, Suru verb, Transitive verb;Память, воспоминание
気温;きおん;kion;atmospheric temperature;Noun;атмосферная температура
霧;きり;kiri;fog, mist;Noun;туман, туман
切れ;きれ;kire;piece, slide;Noun;кусок, слайд
切れる;きれる;kireru;to break, to snap;Ichidan verb, Intransitive verb;сломать, защелкнуть
記録;きろく;kiroku;record, document;Noun, Suru verb, Transitive verb;Запись, документ
記者;きしゃ;kisha;reporter;Noun;репортер
岸;きし;kishi;bank, coast, shore;Noun;Банк, побережье, берег
基礎;きそ;kiso;foundation, basis​;Noun, Noun which may take the genitive case particle 'no';Фонд, основа
期待;きたい;kitai;expectation, hope;Noun, Suru verb, Transitive verb, Intransitive verb;Ожидание, надежда
帰宅;きたく;kitaku;returning home;Noun, Suru verb, Intransitive verb;возвращение домой
際;さい;kiwa;edge, brink, verge;Noun;Край, Грунк, Греб
嫌う;きらう;kirau;to hate, to dislike;Godan verb with 'u' ending, Transitive verb;ненавидеть, не нравится
傷;きず;kizu;wound, injury, cut;Noun;рана, травма, разрезать
器用;きよう;kiyou;dexterous, skillful;Na-adjective (keiyodoshi), Noun;ловкий, умелый
気付く;きづく;kizuku;to notice, to realize;Godan verb with 'ku' ending, Intransitive verb;чтобы заметить, чтобы понять
越える;こえる;koeru;to cross over;Ichidan verb, Transitive verb;пересечь
恋;こい;koi;love;Noun;любовь
濃い;こい;koi;thick, dense, strong;I-adjective (keiyoushi);толстый, плотный, сильный
恋人;こいびと;koibito;lover, sweetheart;Noun;любовник, дорогая
恋しい;こいしい;koishii;yearned for, missed;I-adjective (keiyoushi);Тосли, пропустил
個人;こじん;kojin;individual, personal;Noun;индивидуальный, личный
国家;こっか;kokka;state, country, nation;Noun;штат, страна, нация
国会;こっかい;kokkai;National Diet, parliament;Noun;Национальная диета, парламент
国境;こっきょう;kokkyou;national border;Noun;национальная граница
黒板;こくばん;kokuban;blackboard;Noun;черная доска
国語;こくご;kokugo;national language;Noun;национальный язык
克服;こくふく;kokufuku;conquest, overcoming;Noun, Suru verb, Transitive verb;Завоевание, преодоление
国民;こくみん;kokumin;national, citizen;Noun;Национальный, гражданин
穀物;こくもつ;kokumotsu;grain, cereal;Noun, Noun which may take the genitive case particle 'no';зерно, хлопья
故郷;ふるさと;kokyou;home town, birthplace;Noun;Домашний город, место рождения
呼吸;こきゅう;kokyuu;breathing, respiration;Noun, Suru verb, Transitive verb, Intransitive verb;Дыхание, дыхание
小麦;こむぎ;komugi;wheat;Noun;пшеница
今後;こんご;kongo;from now on;Noun, Adverb (fukushi);впредь
今回;こんかい;konkai;now, this time;Noun, Adverb (fukushi);Теперь на этот раз
粉;こな;kona;flour, powder;Noun;мука, порошок
困難;こんなん;konnan;difficulty, distress;Noun, Na-adjective (keiyodoshi);Сложность, бедствие
今日;きょう;konnichi;this day, these days, recently;Noun, Adverb (fukushi);В этот день, в эти дни, недавно
好み;このみ;konomi;liking, taste;Noun, Noun which may take the genitive case particle 'no';Любит, вкус
好む;このむ;konomu;to like, to prefer;Godan verb with 'mu' ending, Transitive verb;любить, предпочесть
混乱;こんらん;konran;disorder, chaos;Noun, Suru verb, Intransitive verb;Беспорядка, хаос
婚約;こんやく;kon’yaku;engagement, betrothal;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';Взаимодействие, обручение
混雑;こんざつ;konzatsu;congestion, jam;Noun, Suru verb, Intransitive verb;Стоки, джем
氷;こおり;koori;ice;Noun;лед
凍る;こおる;kooru;to freeze;Godan verb with 'ru' ending, Intransitive verb;заморозить
転ぶ;ころぶ;korobu;to fall down;Godan verb with 'bu' ending, Intransitive verb;упасть
殺す;ころす;korosu;to kill;Godan verb with 'su' ending, Transitive verb;Убить
腰;こし;koshi;lower back, waist;Noun;нижняя часть спины, талия
骨折;こっせつ;kossetsu;bone fracture;Noun, Suru verb, Transitive verb;перелом кости
異なる;ことなる;kotonaru;to differ, to vary;Godan verb with 'ru' ending, Intransitive verb;отличаться, варьироваться
断る;ことわる;kotowaru;to refuse, to reject;Godan verb with 'ru' ending, Transitive verb;отказаться, отвергнуть
諺;ことわざ;kotowaza;proverb, maxim;Noun;пословица, Максим
好物;こうぶつ;koubutsu;favourite food​;Noun;Любимая еда
行動;こうどう;koudou;action, conduct, behavior;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';действие, поведение, поведение
講演;こうえん;kouen;lecture, address, speech;Noun, Suru verb, Transitive verb, Intransitive verb;Лекция, адрес, речь
幸福;こうふく;koufuku;happiness;Noun, Na-adjective (keiyodoshi);счастье
攻撃;こうげき;kougeki;attack, strike;Noun, Suru verb, Transitive verb;атака, удар
公平;こうへい;kouhei;fairness, justice;Noun, Na-adjective (keiyodoshi);Справедливость, справедливость
候補;こうほ;kouho;candidate;Noun;кандидат
後方;こうほう;kouhou;behind, in the rear;Noun, Noun which may take the genitive case particle 'no';позади, сзади
工事;こうじ;kouji;construction work​;Noun, Suru verb, Transitive verb, Intransitive verb;Строительные работы
効果;こうか;kouka;effect, effectiveness;Noun, Noun which may take the genitive case particle 'no';эффект, эффективность
硬貨;こうか;kouka;coin;Noun;монета
高価;こうか;kouka;high price;Na-adjective (keiyodoshi), Noun;высокая цена
交換;こうかん;koukan;exchange, interchange;Noun, Suru verb, Transitive verb;Обмен, развязка
光景;こうけい;koukei;scene, spectacle;Noun;Сцена, зрелище
貢献;こうけん;kouken;contribution;Noun, Suru verb, Intransitive verb;вклад
広告;こうこく;koukoku;advertisement;Noun, Suru verb, Transitive verb;реклама
航空;こうくう;koukuu;aviation, flying;Noun;авиация, полета
公共;こうきょう;koukyou;public, community;Noun which may take the genitive case particle 'no', Noun;общественность, сообщество
購入;こうにゅう;kounyuu;purchase, buy;Noun, Suru verb, Transitive verb;купить, купить
考慮;こうりょ;kouryo;consideration;Noun, Suru verb, Transitive verb;рассмотрение
交流;こうりゅう;kouryuu;(cultural) exchange, networking;Noun, Suru verb, Intransitive verb;(Культурный) Обмен, сеть
交際;こうさい;kousai;association, friendship;Noun, Suru verb, Intransitive verb;Ассоциация, дружба
構成;こうせい;kousei;organization, composition;Noun, Suru verb, Transitive verb;организация, композиция
高速;こうそく;kousoku;high speed;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;высокоскоростной
後者;こうしゃ;kousha;the latter;Noun;последний
交通費;こうつうひ;koutsuuhi;traveling expenses;Noun;Путешествие расходы
幸運;こううん;kouun;good luck, fortune;Noun, Na-adjective (keiyodoshi);Удачи, удача
小屋;こや;koya;hut, cabin, shed;Noun;Хижина, салон, сарай
小包;こづつみ;kozutsumi;parcel, package;Noun;посылка, пакет
配る;くばる;kubaru;to distribute, to hand out;Godan verb with 'ru' ending, Transitive verb;распределить, раздать
区別;くべつ;kubetsu;distinction, differentiation;Noun, Suru verb, Transitive verb;различие, дифференциация
工夫;くふう;kufuu;solving ingeniously​;Noun, Suru verb, Transitive verb;Решение гениально
組;くみ;kumi;set, group;Noun, Noun, used as a suffix;SET, Группа
組合;くみあい;kumiai;association, union;Noun;Ассоциация, Союз
組み立てる;くみたてる;kumitateru;to assemble, to set up;Ichidan verb, Transitive verb;собирать, чтобы настроить
曇;くもり;kumori;cloudiness, cloudy weather;Noun;Облачная, облачная погода
曇る;くもる;kumoru;to get cloudy;Godan verb with 'ru' ending, Intransitive verb;Чтобы стать облачным
組む;くむ;kumu;to link, to put together;Godan verb with 'mu' ending;Связать, чтобы собрать вместе
訓練;くんれん;kunren;practice, training;Noun, Suru verb, Transitive verb;практика, обучение
位;くらい;kurai;rank, class, grade;Noun;Ранг, класс, класс
暮らし;くらし;kurashi;life, living;Noun, Noun, used as a suffix;жизнь, живая
暮らす;くらす;kurasu;to live;Godan verb with 'su' ending, Intransitive verb;Жить
暮れ;くれ;kure;sunset, sundown;Noun, Adverb (fukushi), Noun which may take the genitive case particle 'no', Noun, used as a suffix;Закат, закат
繰り返す;くりかえす;kurikaesu;to repeat;Godan verb with 'su' ending, Transitive verb, Intransitive verb;повторить
苦労;くろう;kurou;troubles, hardships;Noun, Suru verb;Проблемы, трудности
苦しい;くるしい;kurushii;painful, difficult;I-adjective (keiyoushi);болезненно, сложно
苦しむ;くるしむ;kurushimu;to suffer;Godan verb with 'mu' ending, Intransitive verb;страдать
狂う;くるう;kuruu;to go mad;Godan verb with 'u' ending, Intransitive verb;чтобы сойти с ума
臭い;くさい;kusai;stinking, smelly;I-adjective (keiyoushi);вонючий, вонючий
鎖;くさり;kusari;chain;Noun;цепь
腐る;くさる;kusaru;to rot, to go bad;Godan verb with 'ru' ending, Intransitive verb;гнить, плохо
癖;くせ;kuse;habit;Noun;привычка
苦痛;くつう;kutsuu;pain, agony;Noun;боль, агония
加える;くわえる;kuwaeru;to add, to sum up;Ichidan verb, Transitive verb;добавить, подвести итог
詳しい;くわしい;kuwashii;detailed;I-adjective (keiyoushi);подробный
加わる;くわわる;kuwawaru;to be added to;Godan verb with 'ru' ending, Intransitive verb;быть добавленным в
句;く;ku;sentence, passage;Noun, Noun, used as a suffix;предложение, проход
食う;くう;kuu;to eat;Godan verb with 'u' ending, Transitive verb;поесть
悔しい;くやしい;kuyashii;annoying, frustrating;I-adjective (keiyoushi);раздражает, разочаровывает
巨大;きょだい;kyodai;huge, gigantic;Na-adjective (keiyodoshi), Noun;Огромный, гигантский
許可;きょか;kyoka;permission, approval;Noun, Suru verb, Transitive verb;разрешение, утверждение
局;きょく;kyoku;bureau, department;Noun, Noun, used as a suffix;Бюро, отдел
距離;きょり;kyori;distance, range​;Noun;расстояние, диапазон
強調;きょうちょう;kyouchou;emphasis, highlight;Noun, Suru verb, Transitive verb;Акцент, выделение
共同;きょうどう;kyoudou;doing together, joint;Noun, Noun, used as a prefix, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no';делая вместе, сустав
恐怖;きょうふ;kyoufu;fear, dread, dismay;Noun, Suru verb, Transitive verb, Intransitive verb;Страх, страх, смятение
競技;きょうぎ;kyougi;game, match;Noun, Suru verb, Intransitive verb;игра, матч
競合;きょうごう;kyougou;competition, rivalry;Noun, Suru verb, Intransitive verb;Соревнование, соперничество
教授;きょうじゅ;kyouju;professor;Noun;профессор
教科書;きょうかしょ;kyoukasho;textbook;Noun;Учебник
供給;きょうきゅう;kyoukyuu;supply, provision;Noun, Suru verb, Transitive verb;поставка, обеспечение
協力;きょうりょく;kyouryoku;cooperation;Noun, Suru verb, Intransitive verb;сотрудничество
強力;きょうりょく;kyouryoku;powerful, strong;Na-adjective (keiyodoshi), Noun;мощный, сильный
教師;きょうし;kyoushi;teacher (classroom);Noun;Учитель (класс)
共通;きょうつう;kyoutsuu;commonness, community;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;Общая, сообщество
共通点;きょうつうてん;kyoutsuuten;point in common, common feature​;Noun;точка общего, общая особенность
級;きゅう;kyuu;class (school, grade, rank;Noun, Counter;класс (школа, класс, ранга
急に;きゅうに;kyuu ni;swiftly, rapidly;Adverb (fukushi);быстро, быстро
急激;きゅうげき;kyuugeki;sudden, radical;Na-adjective (keiyodoshi);Внезапно, радикальный
休日;きゅうじつ;kyuujitsu;holiday, day off​;Noun;Праздник, выходной
救助;きゅうじょ;kyuujo;relief, aid;Noun, Suru verb, Transitive verb;Облегчение, помощь
休暇;きゅうか;kyuuka;holiday, day off;Noun;Праздник, выходной
休憩;きゅうけい;kyuukei;rest, break, recess;Noun, Suru verb, Intransitive verb;отдых, перерыв, перерыв
給料;きゅうりょう;kyuuryou;salary, wages;Noun;зарплата, зарплата
吸収;きゅうしゅう;kyuushuu;absorption;Noun, Suru verb, Transitive verb;поглощение
急速;きゅうそく;kyuusoku;rapid (progress);Na-adjective (keiyodoshi), Noun;быстро (прогресс)
眩しい;まぶしい;mabushii;dazzling, radiant​;I-adjective (keiyoushi);ослепительный, сияющий
間違い;まちがい;machigai;mistake, error, blunder;Noun;ошибка, ошибка, ошибка
間違う;まちがう;machigau;to make a mistake;Godan verb with 'u' ending, Intransitive verb;сделать ошибку
窓口;まどぐち;madoguchi;ticket window, counter;Noun;билетное окно, счетчик
孫;まご;mago;grandchild;Noun;внук
迷子;まいご;maigo;lost child, lost person;Noun;потерянный ребенок, потерянный человек
任せる;まかせる;makaseru;to entrust, to leave to;Ichidan verb, Transitive verb;поручить, уйти в
負け;まけ;make;defeat, loss;Noun;поражение, потеря
幕;まく;maku;curtain;Noun;занавес
豆;まめ;mame;beans;Noun;бобы
守る;まもる;mamoru;to protect, to guard;Godan verb with 'ru' ending, Transitive verb;Чтобы защитить, охранять
学ぶ;まなぶ;manabu;to study, to learn;Godan verb with 'bu' ending, Transitive verb;учиться, учиться
真似;まね;mane;imitating, copying;Noun, Suru verb;подражая, копирование
招く;まねく;maneku;to invite, to ask;Godan verb with 'ku' ending, Transitive verb;пригласить, спросить
万一;まんいち;man’ichi;by some chance;Noun;по какой -то шансу
満点;まんてん;manten;perfect score, full marks​;Noun;Идеальный счет, полные оценки
満足;まんぞく;manzoku;satisfaction, contentment;Noun, Na-adjective (keiyodoshi), Suru verb;удовлетворение, удовлетворение
丸;まる;maru;circle;Noun;круг
真逆;まさか;masaka;by no means, never;;ни в коем случае не
正に;まさに;masa ni;exactly, surely;Adverb (fukushi);точно, конечно
増す;ます;masu;to increase, to grow;Godan verb with 'su' ending, Intransitive verb, Transitive verb;Чтобы увеличить, расти
回り;まわり;mawari;rotation;Noun;ротация
回す;まわす;mawasu;to turn, to rotate;Godan verb with 'su' ending, Transitive verb;повернуть, вращаться
迷う;まよう;mayou;to lose one’s way;Godan verb with 'u' ending, Intransitive verb;Проходить
先ず;まず;mazu;first of all, to start with;Adverb (fukushi);Прежде всего, начать с
混ぜる;まぜる;mazeru;to mix, to stir;Ichidan verb, Transitive verb;смешать, перемешать
貧しい;まずしい;mazushii;poor;I-adjective (keiyoushi);бедный
命じる;めいじる;meijiru;to order, to command;Ichidan verb, Transitive verb;заказать, командовать
明確;めいかく;meikaku;clear, precise;Na-adjective (keiyodoshi);ясно, точный
命令;めいれい;meirei;order, command;Noun, Suru verb, Transitive verb;Порядок, команда
迷惑;めいわく;meiwaku;trouble, bother, annoyance;Noun, Na-adjective (keiyodoshi);Проблема, беспокойство, раздражение
面;めん;men;face, mask;Noun;медицинская маска
綿;めん;men;cotton;Noun;хлопок
面倒;めんどう;mendou;trouble, care;Noun, Na-adjective (keiyodoshi);Проблема, забота
免許;めんきょ;menkyo;license, permit;Noun, Suru verb, Transitive verb;лицензия, разрешение
免許証;めんきょしょう;menkyoshou;license, permit;Noun;лицензия, разрешение
面接;めんせつ;mensetsu;interview (e.g. for a job)​;Noun, Suru verb, Intransitive verb;Интервью (например, для работы)
飯;めし;meshi;cooked rice, meal;Noun;Приготовленный рис, еда
目覚まし時計;めざましどけい;mezamashidokei;alarm clock​;Noun;будильник
身;み;mi;body, oneself;Noun;тело, самостоятельно
実;み;mi;fruit, nut;Noun, Noun which may take the genitive case particle 'no';фрукты, ореха
身につける;みにつける;minitsukeru;to learn, to acquire knowledge​;Expressions (phrases, clauses, etc.), Ichidan verb;учиться, приобретать знания, носить (одежду и т. п.), надеть
満ちる;みちる;michiru;to be full;Ichidan verb, Intransitive verb;быть полным
身近;みぢか;midjika;near oneself, close to one;Na-adjective (keiyodoshi), Noun;рядом, близко к одному
見事;みごと;migoto;splendid, magnificent;Na-adjective (keiyodoshi), Adverb (fukushi);великолепный, великолепный
味方;みかた;mikata;friend, ally;Noun, Noun which may take the genitive case particle 'no';друг, союзник
見舞い;みまい;mimai;visiting ill or distressed people;Noun;посещение больных или огорченных людей
未満;みまん;miman;less than, insufficient​;Noun, used as a suffix, Noun, Adverb (fukushi);меньше, чем недостаточно
見送り;みおくり;miokuri;seeing one off;Noun;видя одного
見送る;みおくる;miokuru;to see someone off;Godan verb with 'ru' ending, Transitive verb;Чтобы увидеть кого -то
未来;みらい;mirai;the future;Noun;будущее
魅力;みりょく;miryoku;charm, fascination;Noun;Очарование, увлечение
認める;みとめる;mitomeru;to accept, to admit;Ichidan verb, Transitive verb;Принять, признать
見つめる;みつめる;mitsumeru;to stare at, to gaze at;Ichidan verb, Transitive verb;смотреть, чтобы смотреть на
土産;みやげ;miyage;present, souvenir;Noun;присутствует, сувенир
都;みやこ;miyako;capital, metropolis;Noun;Капитал, Метрополис
持上げる;もちあげる;mochiageru;to elevate, to raise;Ichidan verb, Transitive verb;поднять, поднять
持ち運び;もちはこび;mochihakobi;carrying;Noun;ношение
用いる;もちいる;mochiiru;to use, to make use of;Ichidan verb, Transitive verb;использовать, использовать
持ち物;もちもの;mochimono;personal effects, one’s belongings​;Noun;личные эффекты, вещи
戻す;もどす;modosu;to put back, to give back;Godan verb with 'su' ending, Transitive verb;вернуть, вернуть
燃える;もえる;moeru;to burn, to get fired up;Ichidan verb, Intransitive verb;гореть, быть уволенным
文字;もじ;moji;letter (of alphabet);Noun;буква (алфавита)
目標;もくひょう;mokuhyou;objective, target;Noun;объективная, цель
目的;もくてき;mokuteki;goal, purpose, aim;Noun;цель, цель, цель
文句;もんく;monku;complaint, grumbling;Noun;Жалоба, ворчание
者;もの;mono;person;Noun;человек
物語;ものがたり;monogatari;tale, story;Noun;Сказка, история
物事;ものごと;monogoto;things, everything;Noun;вещи, все
物音;ものおと;monooto;sounds;Noun;звуки
盛り;さかり;mori;serving, helping;Noun, Noun, used as a suffix;служить, помогая
元;もと;moto;origin, source, base;Noun;Происхождение, источник, база
求める;もとめる;motomeru;to want, to wish for;Ichidan verb, Transitive verb;хотеть, желать
最も;もっとも;mottomo;most, extremely;Adverb (fukushi);Большинство, чрезвычайно
毛布;もうふ;moufu;blanket;Noun;одеяло
申し込み;もうしこみ;moushikomi;application, entry;Noun;Приложение, запись
申込書;もうしこみしょ;moushikomisho;application form;Noun;форма заявления
申し込む;もうしこむ;moushikomu;to apply for;Godan verb with 'mu' ending, Transitive verb;чтобы подать заявку на
申し訳;もうしわけ;moushiwake;apology, excuse;Noun, Suru verb;извинения, оправдание
模様;もよう;moyou;pattern, design;Noun;шаблон, дизайн
夢中;むちゅう;muchuu;daze, ecstasy;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun;оцепенение, экстаз
無駄;むだ;muda;futility, uselessness;Noun, Na-adjective (keiyodoshi);Бесполезность, бесполезность
迎え;むかえ;mukae;meeting, greeting;Noun;Встреча, приветствие
向かい;むかい;mukai;facing, opposite;Noun, Noun which may take the genitive case particle 'no';лицом, напротив
向ける;むける;mukeru;to turn toward, to point;Ichidan verb, Transitive verb;повернуться, чтобы указать
向く;むく;muku;to face, to turn toward;Godan verb with 'ku' ending, Transitive verb, Intransitive verb;лицом к лицу, чтобы повернуться к
剥く;むく;muku;to peel, to skin;Godan verb with 'ku' ending, Transitive verb;очистить, чтобы коже
胸;むね;mune;chest, breast;Noun;грудь, грудь
無料;むりょう;muryou;free, no charge;Noun which may take the genitive case particle 'no', Noun;бесплатно, без зарядки
無視;むし;mushi;disregarding, ignoring;Noun, Suru verb, Transitive verb;игнорируя, игнорируя
虫歯;むしば;mushiba;cavity, tooth decay;Noun;полость, зубной распад
結ぶ;むすぶ;musubu;to tie, to bind;Godan verb with 'bu' ending, Transitive verb;связывать, связать
妙;みょう;myou;strange, unusual;Na-adjective (keiyodoshi), Noun;Странно, необычно
名;な;na;name, given name;Noun;имя, данное имя
鍋;なべ;nabe;saucepan, pot;Noun;кастрюля, горшок
撫でる;なでる;naderu;to stroke, to caress;Ichidan verb, Transitive verb;погладить, ладить
長生き;ながいき;nagaiki;longevity, long life​;Noun, Suru verb, Intransitive verb;долговечность, долгая жизнь
眺め;ながめ;nagame;view, scene, prospect;Noun;Просмотр, сцена, перспектива
眺める;ながめる;nagameru;to view, to gaze at;Ichidan verb, Transitive verb;Чтобы посмотреть, смотреть на
流れ;ながれ;nagare;stream, current, flow;Noun;поток, ток, поток
流れる;ながれる;nagareru;to stream, to flow;Ichidan verb, Intransitive verb;транслировать, течь
流す;ながす;nagasu;to drain, to shed;Godan verb with 'su' ending, Transitive verb;Стечь, чтобы пролить
慰める;なぐさめる;nagusameru;to comfort, to console;Ichidan verb, Transitive verb;чтобы утешить, чтобы утешить
内緒;ないしょ;naisho;secrecy, confidentiality;Noun, Noun which may take the genitive case particle 'no';секретность, конфиденциальность
内容;ないよう;naiyou;contents, matter;Noun;содержимое, материя
仲;なか;naka;relation, relationship;Noun;отношение, отношения
半ば;なかば;nakaba;middle, half;Noun, Noun, used as a suffix;Середина, половина
仲間;なかま;nakama;fellow, companion;Noun;товарищ, компаньон
中身;なかみ;nakami;contents, interior;Noun;содержимое, интерьер
仲直り;なかなおり;nakanaori;reconciliation, make peace with​;Noun, Suru verb, Intransitive verb;примирение, заключать мир
生;なま;nama;raw, uncooked;Noun which may take the genitive case particle 'no', Noun;сырой, сырой
怠ける;なまける;namakeru;to be idle;Ichidan verb, Intransitive verb;быть бездействующим
波;なみ;nami;wave;Noun;волна
涙;なみだ;namida;tears;Noun;слезы
直;なお;nao;straight, ordinary, common;Noun;Прямая, обычная, обычная
情けない;なさけない;nasakenai;miserable, pitiable;I-adjective (keiyoushi);несчастный, плачевный
納得;なっとく;nattoku;consent, assent;Noun, Suru verb, Transitive verb, Intransitive verb;согласие, согласие
懐かしい;なつかしい;natsukashii;missed, nostalgic​;I-adjective (keiyoushi);Пропустил, ностальгию
縄;なわ;nawa;rope, cord;Noun;веревка, шнур
悩む;なやむ;nayamu;to be worried;Godan verb with 'mu' ending, Intransitive verb;Чтобы волноваться
謎;なぞ;nazo;riddle, puzzle, mystery;Noun;Загадка, головоломка, тайна
根;ね;ne;root, source, origin;Noun;корень, источник, происхождение
熱中;ねっちゅう;necchuu;going nuts (over something);Noun, Suru verb, Intransitive verb;сходи с ума (за что -то)
値段;ねだん;nedan;price, cost;Noun;цена, стоимость
願い;ねがい;negai;desire, wish;Noun;желание, желаю
願う;ねがう;negau;to desire, to wish;Godan verb with 'u' ending, Transitive verb;желать, желать
年代;ねんだい;nendai;age, era, period;Noun;Возраст, эпоха, период
年中;ねんじゅう;nenjuu;whole year, all year round;Noun;весь год, круглый год
年間;ねんかん;nenkan;years (period of);Noun, Adverb (fukushi);годы (период)
年齢;ねんれい;nenrei;age, years;Noun;Возраст, годы
熱帯;ねったい;nettai;tropics;Noun;тропики
鼠;ねずみ;nezumi;mouse, rat;Noun;мышь, крыса
似合う;にあう;niau;to suit, to match;Godan verb with 'u' ending, Intransitive verb;Чтобы соответствовать
日常;にちじょう;nichijou;ordinary, everyday;Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi);обычный, каждый день
日中;にっちゅう;nicchuu;daytime, during the day;Noun, Adverb (fukushi);днем, в течение дня
日時;にちじ;nichiji;date and time​;Noun;дата и время
日夜;にちや;nichiya;day and night, always, constantly;Adverb (fukushi), Noun;день и ночь, всегда, постоянно
苦手;にがて;nigate;poor at, weak in;Na-adjective (keiyodoshi), Noun;бедный, слабый в
握る;にぎる;nigiru;to grip, to grasp;Godan verb with 'ru' ending, Transitive verb;схватить, чтобы понять
日本;にほん;nihon;Japan;Noun;Япония
日光;にっこう;nikkou;sunlight;Noun;солнечный свет
人間;にんげん;ningen;human being, person;Noun;человек, человек
人気;にんき;ninki;popularity;Noun, Noun which may take the genitive case particle 'no';популярность
人数;にんずう;ninzuu;the number of people​;Noun;количество людей
日程;にってい;nittei;schedule, program;Noun;расписание, программа
野;の;no;plain, field;Noun;Раведи, поле
伸ばす;のばす;nobasu;to grow long;Godan verb with 'su' ending, Transitive verb;расти долго
述べる;のべる;noberu;to state, to express;Ichidan verb, Transitive verb;утверждать, выразить
